RegionName,State,Metro,StateCodeFIPS,MunicipalCodeFIPS,SizeRank,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05
Dent County,MO,,29,65,1899,119900,119900,119900,129500,124750,129500,119700,118000,102400,118000,118500,106700,99000,92500,92250,94900,99000,99500,105000,108000,99900,109900,112500,106750,106500,99900,115000,124500,108000,109000,99999,99500,99000,110000,109900,99500,94750,99000,99000,97900,99000,99900,102400,99900,99900,99000,99000,94950,98500,93900,95400,99450,114950,112450,119500,119000,115000,112450,105000,99000,99000,99500,99900,109000,106500,99700,1.00E+05,105000,98500,98000,95000,93000,95000,95500,95000,95000,98450,97750,99000,99500,99700,96000,93750,93250,89950,93500,99000,95000,99900,113450,114900,114900,114900,115000,119000,117000,119900,115900,119900,122500,118950,125000,125000,125000,119900,119900,110900,117400,114900,116500,125000,130000,129900
Park County,MT,,30,67,1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282275,299000,329000,288000,289900,289900,293750,299000,329000,349000,350000,394900,385000,385000,375000,369000,365000,347250,364750,350000,349900,359500,346250,311750,334450,324500,316950,325000,343450,350000,373900,359000,329000,329000,330000,357500,399250,371700,399000,399000,399000,399000,394000,379950,399000,409750,420000,404500,420000,449000,4.00E+05,399500,399000,399000,399999,399000,397500,404950,399000,377500,395000,399450,398000
Roseau County,MN,,27,135,1901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149900,149900,152450,156950,157000,159000,159000,149900,145000,132450,124950,123400,125000,129900,135450,132200,129900,129900,129900,128700,125000,123000,129450,127000,131950,139900,141000,139900,139900,146000,149400,147450,149200,147900,149350,143900,151250,153700,153700,152000,144900,144900,142950,144900,142450,139700,149900,170950,169900,154900,149900
West Feliciana Parish,LA,Baton Rouge,22,125,1902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359900,352000,335000,332450,335000,348900,335000,340000,353450,350000,365000,365000,353000,362000,359000,329900,320000,315000,317000
Mitchell County,NC,,37,121,1903,199000,198500,196500,189950,189900,189500,197000,179900,179500,179950,179950,178000,174000,174500,176500,175000,175000,169750,174000,169950,169900,179000,179900,179900,180000,184000,175000,179900,185000,179900,189700,189950,179900,185000,182000,184500,185000,189700,188000,189500,185000,188850,188850,181500,189900,193000,189700,187000,185000,180000,170000,167500,184650,187900,184400,184450,184000,178750,179950,184000,180000,188000,189000,189000,185000,189249.5,189249.5,184900,189000,189700,191000,185000,190450,195000,195000,193500,198250,198750,199900,199000,199450,199900,199900,199900,199900,199900,199900,199900,204900,219000,219000,209900,215000,210000,202500,202500,196000,189900,189900,199700,199900,215000,207000,206200,220000,218950,225000,229000,225000,225000,218500,229000,229900
Macon County,MO,,29,121,1904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118000,124500,125000,123750,119900,119000,118000,119000,129900,127950,139250,129900,129900,125500,137500,142450,124700,131200,135200,147200,149700,169500,146250,145250,145250,144900,143900,140000,149700,145700,137500,149394,144500,139900
Grayson County,VA,,51,77,1905,159950,159900,160000,159300,159900,160000,160000,159150,159900,165750,166950,169000,178000,169250,181000,179000,179000,159900,179000,169000,169000,164950,174000,169450,169000,165000,169000,169000,165000,175450,177450,175000,169000,154000,169000,167000,150000,158000,157750,159900,149950,169000,164450,169000,177000,174950,169450,169450,165000,167450,169900,169900,169900,179000,166950,152475,149000,149974.5,149999,159900,169500,159900,153749.5,159250,158500,160000,169900,168900,160000,154499.5,165900,139900,139900,134975,139900,149000,149000,142450,149000,155000,159900,159900,157400,169900,162300,169900,174900,169900,169950,150000,149900,149900,158250,150000,153750,158900,160000,159900,176000,189900,198000,189000,198500,199000,196500,177450,179900,198500,194900,189000,192000,191450,189000
Pecos County,TX,,48,371,1906,,,,,,,,,,,,,,,,129500,125000,112000,125000,126500,128000,128750,124950,125000,128500,128500,125000,133250,138250,129700,138250,139900,148000,142250,148750,149900,150000,150000,149900,149500,132000,129500,130750,141450,139500,149500,139500,132900,135400,132900,124200,126200,135400,131450,129950,132900,132900,132900,129900,144500,135000,135500,139900,147500,150000,144750,159500,159700,162000,174750,174500,154749.5,144950,144700,149999,159900,164900,153000,141200,138000,136900,136900,136900,136900,138000,138500,140500,160000,152500,148900,149900,149950,159500,154750,159700,167500,167500,162500,170000,168000,168500,168500,150000,149750,155000,157450,150000,136500,138000,140000,135000,131250,130000
Las Animas County,CO,,8,71,1906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203000,205000,215000,189450,189450,196950,209500,209000,219000,229250,247500,247500,237000,249950,235000,235000,239900,225000,227000,225000,224250,217000,215000,215000,211500,219000
Gooding County,ID,,16,47,1908,145000,145950,144900,149900,149900,144900,139950,150000,139900,129000,122500,119450,119000,119000,125000,124900,137200,136900,134750,119900,122400,127200,134900,136900,136250,139900,129900,135950,132500,132450,134950,140950,154900,149900,149900,149500,149900,165000,167000,149900,143000,145000,165000,154900,140000,145000,134700,134700,129900,134500,139000,144950,145000,142450,153500,149000,146000,134200,135500,149000,144900,145000,154900,153950,155450,162500,172400,159650,177200,179500,179250,179700,182450,169450,181250,185000,183200,165220,138800,154000,149000,139900,132500,138000,136500,129900,129900,129900,129900,131000,144500,150750,152500,152500,153700,144000,139950,152500,151250,174500,182000,169900,169000,179000,192000,194900,195000,197750,175000,169900,169900,168500,184000
Burnett County,WI,,55,13,1909,184900,183700,189000,182500,179950,179900,179900,179900,177500,169900,169900,164900,159900,159450,164900,168250,169000,172900,169000,169000,169450,165000,159900,159000,150000,159000,150000,159000,157500,157200,157500,155000,150000,149900,149750,140000,139000,132000,139700,153900,159900,159000,159000,159900,160000,160000,159900,155500,154950,149900,159000,164900,164000,164950,164900,169900,174500,169000,169000,160000,159450,164900,164900,167500,165000,165000,164900,159900,159900,167000,169000,159900,159000,167000,169000,169900,169900,169000,169900,169000,168950,174900,170000,169900,175000,169950,170000,169450,174000,171500,182450,179950,179900,179900,174900,169900,169900,174000,174900,175000,184847.5,180000,179900,169900,164900,164950,165000,167000,163500,175000,189000,195000,189900
Alamosa County,CO,,8,3,1910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170750,169900,159700,166950,162999,169500,167200,169500,169500,158000,171000,169500,171000,189000,192000,199500,188000,186400,188000,185400,185400,171250,170000,166200,175000,175000,175000,175000,160000,160000,164500,157500,155000,156900,160000,160000,155000,162450,165000,173000,199000,182500,169000,175739,190131,199000,209500,211000,221500,227500,229500,216500,224900,220950,227000,227000,229500,218250,239900,210040,219900,243900,228500
Massac County,IL,Paducah,17,127,1911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104500,86950,89900,89000,89450,89900,99900,89900,89900,87000,89000,89000,98950,105000,89000,95000,95000,89900,92000,90950,99900,94900,88700,92499.5,89700,88750,84950,84950,84450,84900,84950,82500,79950,80950,83450,84900,84900,89900,89900,88000,89900,87800,79900,82400,86744,85000
